iter	Passed	Remaining
403	11186	16502
404	11209	16468
405	11231	16431
406	11258	16403
407	11280	16368
408	11303	16332
409	11330	16305
410	11360	16281
411	11382	16244
412	11402	16207
413	11426	16173
414	11448	16138
415	11475	16109
416	11497	16074
417	11520	16039
418	11547	16012
419	11581	15992
420	11605	15961
421	11627	15925
422	11647	15888
423	11671	15855
424	11695	15823
425	11716	15787
426	11742	15757
427	11774	15736
428	11797	15703
429	11820	15669
430	11843	15636
431	11875	15614
432	11901	15584
433	11924	15551
434	11945	15514
435	11974	15490
436	12001	15462
437	12024	15429
438	12046	15393
439	12077	15371
440	12106	15345
441	12127	15310
442	12157	15286
443	12179	15251
444	12212	15231
445	12239	15203
446	12260	15167
447	12284	15136
448	12307	15103
449	12333	15073
450	12356	15041
451	12376	15005
452	12406	14980
453	12443	14964
454	12471	14938
455	12493	14904
456	12518	14874
457	12541	14842
458	12566	14811
459	12589	14778
460	12610	14744
461	12638	14717
462	12664	14688
463	12692	14661
464	12715	14629
465	12739	14597
466	12764	14567
467	12784	14533
468	12805	14498
469	12829	14467
470	12855	14438
471	12880	14408
472	12905	14378
473	12932	14350
474	12956	14319
475	12980	14289
476	13001	14255
477	13022	14221
478	13054	14199
479	13100	14192
480	13134	14172
481	13170	14153
482	13202	14131
483	13231	14106
484	13253	14073
485	13278	14043
486	13303	14013
487	13328	13983
488	13351	13951
489	13378	13924
490	13404	13895
491	13428	13865
492	13450	13832
493	13471	13799
494	13497	13770
495	13518	13736
496	13543	13706
497	13566	13675
498	13597	13652
499	13629	13629
500	13655	13601
501	13677	13568
502	13705	13542
503	13729	13511
504	13758	13485
505	13782	13455
506	13812	13431
507	13852	13416
508	13880	13389
509	13911	13365
510	13938	13338
511	13960	13305
512	13980	13272
513	14005	13242
514	14041	13223
515	14079	13206
516	14114	13186
517	14147	13164
518	14177	13139
519	14204	13111
520	14228	13081
521	14255	13053
522	14276	13021
523	14302	12992
524	14327	12962
525	14357	12938
526	14384	12910
527	14406	12878
528	14427	12845
529	14455	12818
530	14476	12786
531	14505	12760
532	14539	12739
533	14571	12715
534	14603	12693
535	14633	12667
536	14655	12636
537	14685	12611
538	14707	12579
539	14730	12548
540	14752	12516
541	14780	12489
542	14803	12458
543	14826	12428
544	14854	12401
545	14885	12377
546	14911	12348
547	14936	12320
548	14965	12294
549	14999	12272
550	15022	12241
551	15070	12231
552	15101	12206
553	15136	12185
554	15164	12159
555	15188	12128
556	15221	12106
557	15251	12080
558	15275	12051
559	15301	12022
560	15334	11999
561	15361	11971
562	15383	11940
563	15404	11908
564	15432	11881
565	15462	11856
566	15484	11824
567	15508	11795
568	15534	11766
569	15558	11736
570	15582	11706
571	15613	11683
572	15637	11652
573	15662	11624
574	15683	11592
575	15708	11563
576	15737	11536
577	15759	11505
578	15781	11474
579	15812	11450
580	15843	11425
581	15869	11397
582	15892	11367
583	15913	11335
584	15940	11308
585	15962	11277
586	15984	11246
587	16027	11230
588	16059	11206
589	16085	11178
590	16151	11177
591	16206	11169
592	16247	11151
593	16303	11143
594	16344	11124
595	16382	11105
596	16414	11080
597	16444	11054
598	16477	11031
599	16511	11007
600	16543	10982
601	16584	10964
602	16619	10941
603	16646	10913
604	16674	10886
605	16698	10856
606	16720	10825
607	16749	10798
608	16778	10772
609	16807	10745
610	16840	10721
611	16872	10697
612	16910	10675
613	16945	10653
614	16980	10629
615	17016	10607
616	17052	10584
617	17082	10559
618	17113	10533
619	17139	10505
620	17169	10478
621	17200	10452
622	17244	10435
623	17284	10414
624	17329	10397
625	17365	10374
626	17393	10347
627	17419	10318
628	17444	10289
629	17466	10257
630	17488	10227
631	17512	10197
632	17539	10169
633	17568	10142
634	17596	10114
635	17625	10087
636	17649	10057
637	17680	10031
638	17721	10011
639	17758	9989
640	17798	9968
641	17832	9943
642	17864	9918
643	17896	9893
644	17922	9864
645	17946	9834
646	17973	9806
647	17994	9774
648	18020	9746
649	18053	9721
650	18078	9691
651	18106	9663
652	18132	9635
653	18159	9607
654	18180	9576
655	18205	9546
656	18227	9515
657	18255	9488
658	18276	9457
659	18296	9425
660	18320	9395
661	18350	9369
662	18383	9344
663	18405	9313
664	18427	9282
665	18452	9253
666	18477	9225
667	18502	9195
668	18526	9166
669	18554	9138
670	18584	9112
671	18611	9084
672	18642	9057
673	18673	9031
674	18699	9003
675	18720	8972
676	18742	8941
677	18767	8913
678	18793	8884
679	18816	8855
680	18838	8824
681	18863	8795
682	18891	8767
683	18920	8741
684	18943	8711
685	18965	8681
686	18990	8652
687	19019	8624
688	19040	8594
689	19067	8566
690	19104	8542
691	19135	8517
692	19159	8487
693	19182	8457
694	19203	8427
695	19227	8398
696	19254	8370
697	19280	8341
698	19314	8317
699	19358	8296
700	19392	8271
701	19425	8245
702	19463	8222
703	19496	8197
704	19541	8176
705	19575	8151
706	19605	8125
707	19657	8107
708	19686	8080
709	19712	8051
710	19733	8021
711	19759	7992
712	19789	7965
713	19821	7939
714	19844	7910
715	19867	7880
716	19895	7852
717	19917	7822
718	19942	7794
719	19966	7764
720	19995	7737
721	20020	7708
722	20042	7678
723	20067	7650
724	20094	7622
725	20129	7597
726	20153	7567
727	20174	7537
728	20203	7510
729	20225	7480
730	20247	7450
731	20271	7421
732	20301	7394
733	20338	7370
734	20371	7344
735	20411	7321
736	20450	7297
737	20480	7271
738	20516	7246
739	20552	7221
740	20589	7196
741	20621	7170
742	20648	7142
743	20672	7113
744	20708	7088
745	20741	7062
746	20773	7035
747	20803	7008
748	20845	6985
749	20883	6961
750	20917	6935
751	20949	6909
752	21028	6897
753	21117	6889
754	21262	6899
755	21358	6893
756	21452	6886
757	21526	6872
758	21601	6858
759	21711	6856
760	21781	6840
761	21848	6823
762	21929	6811
763	21971	6787
764	22016	6763
765	22058	6738
766	22093	6711
767	22126	6683
768	22149	6653
769	22179	6624
770	22207	6596
771	22230	6565
772	22251	6534
773	22275	6504
774	22302	6474
775	22326	6444
776	22347	6413
777	22377	6385
778	22405	6356
779	22429	6326
780	22454	6296
781	22476	6265
782	22505	6237
783	22529	6207
784	22555	6177
785	22576	6146
786	22604	6117
787	22634	6089
788	22660	6059
789	22682	6029
790	22706	5999
791	22733	5970
792	22756	5940
793	22777	5909
794	22802	5879
795	22825	5849
796	22859	5822
797	22884	5792
798	22907	5762
799	22936	5734
800	22958	5703
801	22983	5674
802	23006	5644
803	23029	5614
804	23062	5586
805	23087	5556
806	23114	5527
807	23142	5499
808	23174	5471
809	23210	5444
810	23251	5418
811	23285	5391
812	23320	5363
813	23358	5337
814	23395	5310
815	23430	5283
816	23467	5256
817	23502	5229
818	23535	5201
819	23559	5171
820	23583	5141
821	23612	5113
822	23643	5084
823	23665	5054
824	23688	5024
825	23711	4995
826	23739	4965
827	23762	4936
828	23783	4905
829	23807	4876
830	23831	4846
831	23862	4818
832	23888	4789
833	23914	4759
834	23941	4731
835	23963	4700
836	23986	4671
837	24010	4641
838	24037	4612
839	24061	4583
840	24088	4554
841	24113	4524
842	24140	4495
843	24174	4468
844	24205	4440
845	24242	4412
846	24275	4385
847	24314	4358
848	24351	4331
849	24380	4302
850	24424	4276
851	24459	4248
852	24494	4221
853	24525	4192
854	24561	4165
855	24592	4137
856	24638	4111
857	24670	4083
858	24694	4053
859	24719	4024
860	24741	3994
861	24765	3964
862	24792	3935
863	24818	3906
864	24841	3877
865	24867	3847
866	24898	3819
867	24935	3792
868	24965	3763
869	24989	3734
870	25014	3704
871	25038	3675
872	25069	3647
873	25103	3619
874	25136	3590
875	25169	3562
876	25207	3535
877	25246	3508
878	25282	3480
879	25313	3451
880	25347	3423
881	25373	3394
882	25406	3366
883	25450	3339
884	25483	3311
885	25515	3283
886	25550	3255
887	25587	3227
888	25619	3198
889	25648	3169
890	25676	3141
891	25699	3111
892	25731	3083
893	25767	3055
894	25798	3026
895	25822	2997
896	25850	2968
897	25873	2938
898	25900	2909
899	25926	2880
900	25949	2851
901	25974	2822
902	26006	2793
903	26041	2765
904	26072	2736
905	26098	2707
906	26122	2678
907	26145	2649
908	26167	2619
909	26191	2590
910	26217	2561
911	26242	2532
912	26271	2503
913	26303	2474
914	26328	2445
915	26350	2416
916	26374	2387
917	26401	2358
918	26430	2329
919	26457	2300
920	26484	2271
921	26519	2243
922	26554	2215
923	26583	2186
924	26609	2157
925	26642	2129
926	26671	2100
927	26697	2071
928	26727	2042
929	26754	2013
