iter	Logloss
0	0.6265853079
1	0.5695925595
2	0.5235806013
3	0.4848041785
4	0.4530332883
5	0.4311897546
6	0.4066831104
7	0.3885892902
8	0.3711456583
9	0.3564772941
10	0.3449863718
11	0.334413403
12	0.3256566985
13	0.3169950017
14	0.3098512532
15	0.3029747929
16	0.2978165693
17	0.2927578709
18	0.2884589413
19	0.2829706418
20	0.2789824344
21	0.2752181187
22	0.272108262
23	0.2693093743
24	0.2666147299
25	0.2643747455
26	0.2618413934
27	0.2597076349
28	0.2576398389
29	0.254983605
30	0.2533919811
31	0.2517805894
32	0.2503090616
33	0.2478231003
34	0.2460757097
35	0.2449727811
36	0.2434531638
37	0.2416250078
38	0.2404516078
39	0.2393886457
40	0.2378081648
41	0.236947252
42	0.2356520828
43	0.2346961833
44	0.2338297116
45	0.2331378209
46	0.2325007414
47	0.230809057
48	0.2292682623
49	0.2283434533
50	0.2274076604
51	0.2266072934
52	0.2239519504
53	0.2226056091
54	0.2218070072
55	0.2212404452
56	0.2197133031
57	0.2193368862
58	0.218434292
59	0.2176743223
60	0.21730753
61	0.2162613534
62	0.2154946745
63	0.2151497163
64	0.2141756259
65	0.2134939035
66	0.2130126828
67	0.2126188195
68	0.2120832477
69	0.2107960048
70	0.2104265941
71	0.2096495796
72	0.2091334494
73	0.208058307
74	0.2076662381
75	0.207044798
76	0.206655427
77	0.205843252
78	0.2052351111
79	0.2044685723
80	0.2041189942
81	0.2030404241
82	0.2017184182
83	0.2012683195
84	0.2008850449
85	0.2005611323
86	0.2002221262
87	0.1996966872
88	0.199421799
89	0.1991392102
90	0.1983581091
91	0.1980503567
92	0.1970147166
93	0.1966416083
94	0.1963716055
95	0.1960862645
96	0.1958250393
97	0.1948239218
98	0.1943014254
99	0.1940357811
100	0.1935907372
101	0.1930239389
102	0.1927717799
103	0.1920643397
104	0.1913040333
105	0.1909326043
106	0.1906521111
107	0.1899568867
108	0.1897736328
109	0.1894881056
110	0.1892874032
111	0.1889634718
112	0.1887618638
113	0.1885843863
114	0.1883212202
115	0.1878665958
116	0.1875883153
117	0.1874273995
118	0.1871684622
119	0.1868786017
120	0.1866825924
121	0.1864883649
122	0.1862141814
123	0.1857428551
124	0.1849159923
125	0.1846375758
126	0.1841009228
127	0.1831551121
128	0.1827196531
129	0.1826019329
130	0.1824111269
131	0.1821292869
132	0.1817120084
133	0.1815877923
134	0.1813181848
135	0.1810645681
136	0.1809498636
137	0.1805235545
138	0.1801881623
139	0.1800102769
140	0.1796559033
141	0.1793774178
142	0.1792805509
143	0.1791074694
144	0.1789989785
145	0.1786901365
146	0.1785416645
147	0.1782525778
148	0.1781107166
149	0.1780300747
150	0.1775789219
151	0.1774053072
152	0.1772706049
153	0.1769290012
154	0.1766389943
155	0.1765252749
156	0.1764200173
157	0.1763268897
158	0.1761259363
159	0.1757824463
160	0.175535934
161	0.1753524061
162	0.1751694198
163	0.1750067472
164	0.1749190197
165	0.174740143
166	0.174386518
167	0.174243881
168	0.1738606336
169	0.1735322434
170	0.1732340612
171	0.1730049807
172	0.1728875449
173	0.172677243
174	0.1723722596
175	0.1719297422
176	0.1717424393
177	0.1716416279
178	0.1714888811
179	0.1713529491
180	0.1711610493
181	0.1704167483
182	0.1702477806
183	0.170117029
184	0.1699162199
185	0.169725667
186	0.1694653996
187	0.1691841201
188	0.1686755356
189	0.1685620818
190	0.1681797693
191	0.1679533427
192	0.1675564574
193	0.1673991011
194	0.1672297988
195	0.1670741031
196	0.1669797856
197	0.1667014758
198	0.1662145769
199	0.1658682656
200	0.1654848697
201	0.165299836
202	0.1650087164
203	0.1648695155
204	0.1645012153
205	0.1642765141
206	0.1639427637
207	0.1636730537
208	0.1634016602
209	0.1629239781
210	0.162750951
211	0.1624040081
212	0.1619671646
213	0.1618307662
214	0.1616578165
215	0.1614195987
216	0.1612961669
217	0.1611673246
218	0.1609856936
219	0.160860733
220	0.1607463883
221	0.1606245689
222	0.1601403889
223	0.1598243651
224	0.1596655009
225	0.1594701775
226	0.1593779786
227	0.1592131268
228	0.1590569793
229	0.1586840069
230	0.1583101687
231	0.1580567276
232	0.1577945759
233	0.1576305126
234	0.1574454621
235	0.1573263093
236	0.1572130793
237	0.157042702
238	0.1569169864
239	0.156809788
240	0.1566530508
241	0.156540603
242	0.1564680212
243	0.1563213917
244	0.1561574831
245	0.1560400954
246	0.1559293667
247	0.155763898
248	0.1556503898
249	0.1553460109
250	0.1552289118
251	0.1551030059
252	0.1549781749
253	0.154863573
254	0.1547618561
255	0.1546200493
256	0.1545045501
257	0.1543970484
258	0.1542682209
259	0.1541737423
260	0.1539755139
261	0.1537281066
262	0.1536274145
263	0.1535027696
264	0.1533840309
265	0.153295105
266	0.1531941431
267	0.1530085865
268	0.1528057425
269	0.1525402529
270	0.1524493088
271	0.1523714024
272	0.1522696583
273	0.1521701143
274	0.1520374762
275	0.1518955314
276	0.1517712484
277	0.1516463004
278	0.1515514516
279	0.1514087037
280	0.1512777868
281	0.1512088127
282	0.1511164506
283	0.1509580591
284	0.1508744934
285	0.1507238882
286	0.1506042941
